date,symbol,side,entry,exit,qty,pnl,reason
2022-03-21,NFLX,short,38.060001373291016,37.45899963378906,306,183.90653228759766,signal
2022-04-11,CRWD,long,218.2100067138672,216.60000610351562,46,-74.06002807617188,signal
2022-04-11,SMCI,short,3.5309998989105225,3.5190000534057617,3432,41.18346977233887,signal
2022-04-14,CRWD,long,223.50999450683594,235.22000122070312,45,526.9503021240234,signal
2022-04-19,SMCI,short,3.6519999504089355,4.465000152587891,3441,-2797.5336956977844,trail
2022-04-25,META,short,198.8594512939453,185.5340118408203,63,839.502685546875,signal
2022-04-26,NFLX,short,34.861000061035156,19.84000015258789,353,5302.412967681885,signal
2022-04-27,TSLA,short,292.1400146484375,293.836669921875,26,-44.113037109375,signal
2022-04-28,META,short,173.58775329589844,204.1280975341797,59,-1801.8803100585938,trail
2022-04-29,TSLA,short,292.5033264160156,290.2533264160156,26,58.5,signal
2022-05-02,META,short,204.1280975341797,209.48606872558594,48,-257.1826171875,signal
2022-05-04,AMD,short,91.12999725341797,99.41999816894531,109,-903.6100997924805,signal
2022-05-06,TSLA,short,291.09332275390625,288.54998779296875,23,58.4967041015625,signal
2022-05-09,SMCI,long,5.120999813079834,4.916999816894531,1378,-281.11199474334717,signal
2022-05-11,NVDA,short,17.563024520874023,16.599777221679688,361,347.7322750091553,signal
2022-05-12,AMD,short,86.36000061035156,87.05999755859375,88,-61.5997314453125,signal
2022-05-13,TSLA,short,242.6666717529297,256.5299987792969,22,-304.9931945800781,signal
2022-05-23,NVDA,short,16.66366195678711,16.867292404174805,378,-76.97230911254883,signal
2022-05-23,TSLA,short,221.3000030517578,224.96665954589844,23,-84.33309936523438,signal
2022-05-25,META,short,179.86849975585938,182.3986053466797,48,-121.445068359375,signal
2022-05-27,NVDA,short,16.944149017333984,18.77681541442871,404,-740.3972244262695,signal
2022-06-07,SMCI,long,5.499000072479248,5.61899995803833,2033,243.95976734161377,signal
2022-06-16,NFLX,short,18.01099967956543,17.334999084472656,499,337.32429695129395,signal
2022-06-22,TSLA,short,237.0366668701172,236.086669921875,30,28.499908447265625,signal
2022-06-23,NFLX,short,17.551000595092773,18.17099952697754,498,-308.7594680786133,signal
2022-06-24,META,short,155.82716369628906,168.8350830078125,52,-676.4118041992188,trail
2022-06-27,META,short,168.8350830078125,168.1702880859375,57,37.893310546875,signal
2022-06-27,NFLX,short,19.084999084472656,18.913999557495117,505,86.35476112365723,signal
2022-07-01,NVDA,short,15.134650230407715,14.499671936035156,547,347.33312702178955,signal
2022-07-06,NVDA,short,14.939964294433594,15.105698585510254,588,-97.45176315307617,signal
2022-07-19,NVDA,short,16.075136184692383,16.964706420898438,635,-564.8770999908447,signal
2022-07-22,SMCI,long,5.163000106811523,5.072000026702881,2339,-212.849187374115,signal
2022-08-11,SMCI,long,6.109000205993652,6.421999931335449,1782,557.765510559082,signal
2022-08-15,SMCI,long,6.531000137329102,6.703000068664551,1461,251.2918996810913,signal
2022-08-19,SMCI,long,7.196000099182129,6.982999801635742,1353,-288.18940258026123,signal
2022-08-29,NVDA,short,16.23388671875,15.775617599487305,581,266.254358291626,signal
2022-09-02,AMD,short,82.33000183105469,80.23999786376953,125,261.25049591064453,signal
2022-09-02,META,short,161.66136169433594,159.0717010498047,89,230.47979736328125,signal
2022-09-06,NVDA,short,13.914613723754883,13.443371772766113,576,271.43536376953125,signal
2022-09-09,AMD,short,82.77999877929688,85.44999694824219,125,-333.74977111816406,signal
2022-09-14,NVDA,short,13.113802909851074,13.110806465148926,609,1.8248348236083984,signal
2022-09-14,NFLX,short,21.812999725341797,22.41200065612793,485,-290.5154514312744,signal
2022-09-19,META,short,151.93765258789062,146.86746215820312,72,365.0537109375,signal
2022-09-22,NVDA,short,13.243633270263672,12.544549942016602,746,521.5161628723145,signal
2022-09-23,AMD,short,69.5,67.95999908447266,151,232.5401382446289,signal
2022-09-23,META,short,141.01339721679688,139.31671142578125,82,139.12823486328125,signal
2022-09-28,AMD,short,67.16999816894531,68.36000061035156,155,-184.45037841796875,signal
2022-09-30,AMD,short,64.13999938964844,63.36000061035156,152,118.559814453125,signal
2022-09-30,META,short,135.3478546142578,134.62355041503906,85,61.56585693359375,signal
2022-10-12,AMD,short,67.8499984741211,57.849998474121094,157,1570.0,signal
2022-10-12,CRWD,short,161.0800018310547,152.99000549316406,69,558.2097473144531,signal
2022-10-14,NVDA,short,11.944336891174316,11.212296485900879,775,567.3313140869141,signal
2022-10-14,AMD,short,58.939998626708984,55.939998626708984,140,420.0,signal
2022-10-17,TSLA,short,221.72000122070312,219.35000610351562,36,85.31982421875,signal
2022-10-17,CRWD,short,152.60000610351562,151.61000061035156,66,65.34036254882812,signal
2022-10-19,CRWD,short,156.8800048828125,152.5399932861328,60,260.40069580078125,signal
2022-10-21,TSLA,short,207.27999877929688,214.44000244140625,36,-257.7601318359375,signal
2022-10-24,SMCI,long,6.453000068664551,6.301000118255615,1448,-220.09592819213867,signal
2022-10-25,TSLA,short,211.25,222.4199981689453,38,-424.4599304199219,signal
2022-10-25,META,short,128.9976806640625,136.4392852783203,92,-684.6276245117188,signal
2022-10-26,SMCI,long,6.703999996185303,6.565000057220459,1417,-196.9629135131836,signal
2022-11-02,META,short,128.80918884277344,89.83502197265625,78,3039.9850158691406,signal
2022-11-07,SMCI,long,7.185999870300293,7.715000152587891,1449,766.521409034729,signal
2022-11-08,META,short,95.9668960571289,95.71885681152344,69,17.114707946777344,signal
2022-11-09,CRWD,short,127.55999755859375,122.36000061035156,64,332.7998046875,signal
2022-11-10,META,short,100.67991638183594,110.99893951416016,69,-712.0125961303711,signal
2022-11-14,TSLA,short,191.3000030517578,190.9499969482422,40,14.000244140625,signal
2022-11-14,CRWD,short,135.75999450683594,142.00999450683594,61,-381.25,signal
2022-11-14,SMCI,long,8.347000122070312,8.192999839782715,1147,-176.6383237838745,signal
2022-11-16,SMCI,long,8.689000129699707,8.217000007629395,1069,-504.56813049316406,signal
2022-11-21,CRWD,short,138.99000549316406,135.55999755859375,57,195.5104522705078,signal
2022-11-25,TSLA,short,183.1999969482422,182.86000061035156,45,15.299835205078125,signal
2022-12-05,NFLX,long,30.55299949645996,31.259000778198242,393,277.45850372314453,signal
2022-12-05,CRWD,short,117.6500015258789,118.33000183105469,63,-42.84001922607422,signal
2022-12-12,NFLX,long,32.000999450683594,31.51799964904785,453,-218.7989101409912,signal
2022-12-19,NFLX,long,29.041000366210938,28.829999923706055,366,-77.22616195678711,signal
2022-12-23,AMD,short,63.86000061035156,64.5199966430664,174,-114.83930969238281,signal
2022-12-30,TSLA,short,179.0500030517578,123.18000030517578,59,3296.33016204834,signal
2023-01-04,TSLA,short,108.0999984741211,113.63999938964844,50,-277.0000457763672,signal
2023-01-09,AMD,short,63.959999084472656,67.23999786376953,206,-675.6797485351562,signal
2023-01-09,TSLA,short,113.05999755859375,119.7699966430664,52,-348.9199523925781,signal
2023-01-11,NFLX,long,32.75400161743164,32.72600173950195,448,-12.5439453125,signal
2023-01-11,CRWD,short,94.88999938964844,97.0,110,-232.10006713867188,signal
2023-01-13,NFLX,long,33.01300048828125,33.28200149536133,461,124.00946426391602,signal
2023-01-24,NFLX,long,31.577999114990234,36.382999420166016,463,2224.7151412963867,signal
2023-02-02,NVDA,long,20.92092514038086,21.686113357543945,561,429.2705898284912,signal
2023-02-08,NVDA,long,22.149625778198242,22.18159294128418,530,16.942596435546875,signal
2023-02-10,SMCI,long,8.699999809265137,9.001999855041504,1151,347.60205268859863,signal
2023-02-15,NVDA,long,22.946781158447266,22.74000358581543,484,-100.0803451538086,signal
2023-02-17,SMCI,long,9.588000297546387,9.197999954223633,1095,-427.0503759384155,signal
2023-02-24,NVDA,long,23.639053344726562,23.261451721191406,469,-177.09516143798828,signal
2023-02-28,SMCI,long,9.427000045776367,9.79699993133545,1073,397.009877204895,signal
2023-03-13,SMCI,long,9.276000022888184,8.928000450134277,1019,-354.61156463623047,signal
2023-03-20,NVDA,long,25.70224952697754,25.877090454101562,575,100.53353309631348,signal
2023-03-20,META,long,192.50929260253906,196.269775390625,82,308.3595886230469,signal
2023-03-23,NVDA,long,26.444591522216797,27.16695213317871,538,388.63000869750977,signal
2023-03-23,AMD,long,96.5999984741211,100.27999877929688,138,507.8400421142578,signal
2023-03-27,SMCI,long,11.399999618530273,11.09000015258789,968,-300.07948303222656,signal
2023-03-29,SMCI,long,10.277999877929688,10.5649995803833,870,249.68974113464355,signal
2023-04-10,SMCI,long,10.069000244140625,10.654999732971191,824,482.8635787963867,signal
2023-04-19,NVDA,long,27.64253044128418,27.906295776367188,741,195.4501132965088,signal
2023-04-19,NFLX,long,33.369998931884766,32.3120002746582,576,-609.4072265625,signal
2023-04-21,TSLA,short,162.99000549316406,165.0800018310547,62,-129.57977294921875,signal
2023-05-01,CRWD,short,120.05000305175781,118.79000091552734,118,148.6802520751953,signal
2023-05-02,NVDA,long,28.884429931640625,28.185049057006836,654,-457.39509201049805,signal
2023-05-02,META,long,236.70248413085938,237.377197265625,83,56.001190185546875,signal
2023-05-04,META,long,235.18438720703125,231.70172119140625,77,-268.165283203125,signal
2023-05-08,SMCI,long,13.722999572753906,13.663000106811523,654,-39.23965072631836,signal
2023-05-11,AMD,long,97.0199966430664,97.0999984741211,123,9.840225219726562,signal
2023-05-17,NVDA,long,29.187162399291992,30.15130615234375,648,624.7651519775391,signal
2023-05-17,AMD,long,101.4800033569336,103.75,114,258.7796173095703,signal
2023-05-22,NVDA,long,31.64998435974121,31.14842987060547,599,-300.43113899230957,signal
2023-05-22,NFLX,long,37.12900161743164,36.30099868774414,519,-429.7335205078125,signal
2023-05-22,SMCI,long,15.430999755859375,16.481000900268555,655,687.7507495880127,signal
2023-05-25,NFLX,long,36.48500061035156,35.900001525878906,518,-303.02952575683594,signal
