date,equity,daily_change
2026-04-08 09:30:34,100000.0,0.0%
2026-04-08 09:31:34,100000.0,0.0%
2026-04-08 09:32:35,100000.0,0.0%
2026-04-08 09:33:35,100000.0,0.0%
2026-04-08 09:36:39,99994.57,-0.005%
2026-04-08 09:37:39,99986.8,-0.013%
2026-04-08 09:38:40,99987.43,-0.013%
2026-04-08 09:40:02,99981.61,-0.018%
2026-04-08 09:41:02,99981.16,-0.019%
2026-04-08 09:42:03,99982.95,-0.017%
2026-04-08 09:43:03,99982.82,-0.017%
2026-04-08 09:44:04,99982.82,-0.017%
2026-04-08 09:45:04,99982.82,-0.017%
2026-04-08 09:46:04,99982.82,-0.017%
2026-04-08 09:47:05,99982.82,-0.017%
2026-04-08 09:48:27,99982.82,-0.017%
2026-04-08 09:49:28,99984.89,-0.015%
2026-04-08 09:50:28,99983.45,-0.017%
2026-04-08 09:51:28,99980.93,-0.019%
2026-04-08 09:52:29,99982.72,-0.017%
2026-04-08 09:53:29,99984.85,-0.015%
2026-04-08 09:54:30,99984.15,-0.016%
2026-04-08 09:55:30,99982.47,-0.018%
2026-04-08 09:56:30,99984.85,-0.015%
2026-04-08 09:57:31,99982.72,-0.017%
2026-04-08 09:58:31,99984.08,-0.016%
2026-04-08 09:59:31,99982.82,-0.017%
2026-04-08 10:00:32,99984.15,-0.016%
2026-04-08 10:01:32,99982.86,-0.017%
2026-04-08 10:02:33,99984.29,-0.016%
2026-04-08 10:03:33,99986.18,-0.014%
2026-04-08 10:04:34,99986.5,-0.013%
2026-04-08 10:05:34,99984.6,-0.015%
2026-04-08 10:06:34,99985.24,-0.015%
2026-04-08 10:07:35,99991.15,-0.009%
2026-04-08 10:08:35,99989.82,-0.01%
2026-04-08 10:09:36,99988.63,-0.011%
2026-04-08 10:10:36,99989.47,-0.011%
2026-04-08 10:11:37,99989.4,-0.011%
2026-04-08 10:12:37,99989.09,-0.011%
2026-04-08 10:13:37,99987.13,-0.013%
2026-04-08 10:14:38,99986.32,-0.014%
2026-04-08 10:15:38,99986.67,-0.013%
2026-04-08 10:16:39,99985.48,-0.015%
2026-04-08 10:17:39,99986.04,-0.014%
2026-04-08 10:18:39,99983.77,-0.016%
2026-04-08 10:19:40,99983.17,-0.017%
2026-04-08 10:20:40,99983.59,-0.016%
2026-04-08 10:21:41,99985.9,-0.014%
2026-04-08 10:22:41,99985.69,-0.014%
2026-04-08 10:23:41,99984.29,-0.016%
2026-04-08T12:58:52.413674,99984.29,100000.0,-15.71
2026-04-08T12:59:54.984474,99943.9,100000.0,-56.1
2026-04-08T13:01:05.659021,99917.39,100000.0,-82.61
2026-04-08T13:02:09.331416,99928.27,100000.0,-71.73
2026-04-08T13:03:11.951915,99935.41,100000.0,-64.59
2026-04-08T13:05:26.962142,99879.57,100000.0,-120.43
2026-04-08T13:06:29.341316,99866.07,100000.0,-133.93
2026-04-08T13:07:31.657443,99807.09,100000.0,-192.91
2026-04-08T13:08:34.171416,99847.34,100000.0,-152.66
2026-04-08T13:09:36.823934,99841.43,100000.0,-158.57
2026-04-08T13:10:46.663644,99819.89,100000.0,-180.11
2026-04-08T13:11:48.987914,99818.37,100000.0,-181.63
2026-04-08T13:12:51.203319,99833.39,100000.0,-166.61
2026-04-08T14:29:54.909520,99927.47,100000.0,-72.53
2026-04-08T14:30:57.707789,99931.88,100000.0,-68.12
2026-04-08T14:31:59.906046,99948.63,100000.0,-51.37
2026-04-08T14:33:02.466628,99912.63,100000.0,-87.37
2026-04-08T14:34:04.085261,99897.85,100000.0,-102.15
2026-04-08T14:35:12.672266,99874.22,100000.0,-125.78
2026-04-08T14:36:14.347572,99819.49,100000.0,-180.51
2026-04-08T14:37:16.824692,99797.06,100000.0,-202.94
2026-04-08T14:38:18.223905,99768.19,100000.0,-231.81
2026-04-08T14:39:19.635552,99751.43,100000.0,-248.57
2026-04-08T14:40:26.093775,99737.16,100000.0,-262.84
2026-04-08T14:41:27.529546,99686.44,100000.0,-313.56
2026-04-08T14:42:29.061458,99702.15,100000.0,-297.85
2026-04-08T14:43:30.880239,99689.52,100000.0,-310.48
2026-04-08T14:44:32.414142,99647.95,100000.0,-352.05
2026-04-08T14:45:39.739637,99642.21,100000.0,-357.79
2026-04-08T14:46:41.839136,99699.28,100000.0,-300.72
2026-04-08T14:47:43.463580,99713.27,100000.0,-286.73
2026-04-08T14:48:45.115972,99673.27,100000.0,-326.73
2026-04-08T14:49:46.622547,99666.79,100000.0,-333.21
2026-04-08T14:50:51.077239,99667.91,100000.0,-332.09
2026-04-08T14:51:52.620928,99651.33,100000.0,-348.67
2026-04-08T14:52:54.245607,99658.95,100000.0,-341.05
2026-04-08T15:25:29.878271,99911.34,100000.0,-88.66
2026-04-08T15:26:31.476986,99910.55,100000.0,-89.45
2026-04-08T15:27:33.288309,99888.89,100000.0,-111.11
2026-04-08T15:28:40.828694,99893.56,100000.0,-106.44
2026-04-08T15:29:42.497917,99920.74,100000.0,-79.26
2026-04-08T15:30:54.449114,99994.5,100000.0,-5.5
2026-04-08T15:31:56.264803,100000.44,100000.0,0.44
2026-04-08T15:32:57.936253,100004.17,100000.0,4.17
2026-04-08T15:33:59.770090,99999.73,100000.0,-0.27
2026-04-08T15:35:04.512351,100015.53,100000.0,15.53
2026-04-08T15:36:09.533427,100039.57,100000.0,39.57
2026-04-08T15:37:11.254174,100087.42,100000.0,87.42
2026-04-08T15:38:13.033943,100079.78,100000.0,79.78
2026-04-08T15:39:14.736476,100036.12,100000.0,36.12
2026-04-08T15:40:16.634621,100036.09,100000.0,36.09
2026-04-08T15:41:20.714456,99996.92,100000.0,-3.08
2026-04-08T15:42:22.503823,99944.45,100000.0,-55.55
2026-04-08T15:43:24.212384,99955.33,100000.0,-44.67
2026-04-08T15:44:26.104957,99984.58,100000.0,-15.42
2026-04-08T15:45:27.941384,100022.64,100000.0,22.64
2026-04-08T15:46:34.138862,100000.16,100000.0,0.16
2026-04-08T15:47:36.106764,99993.45,100000.0,-6.55
2026-04-08T15:48:39.591135,99980.21,100000.0,-19.79
2026-04-08T15:49:44.365083,99965.12,100000.0,-34.88
2026-04-08T15:50:47.729014,99983.68,100000.0,-16.32
2026-04-08T15:51:55.626480,100024.06,100000.0,24.06
2026-04-08T15:52:59.869750,99990.4,100000.0,-9.6
2026-04-08T15:54:03.287072,100038.68,100000.0,38.68
2026-04-08T15:55:08.360491,100000.1,100000.0,0.1
2026-04-08T15:56:11.691476,100005.4,100000.0,5.4
2026-04-08T15:57:20.666726,100067.34,100000.0,67.34
2026-04-08T15:58:24.641057,100024.54,100000.0,24.54
2026-04-08T15:59:30.133324,100063.2,100000.0,63.2
2026-04-09T09:51:23.475644,100419.52,100000.0,419.52
2026-04-09T09:53:42.832567,100269.16,100000.0,269.16
2026-04-09T09:54:43.087406,100312.61,100000.0,312.61
2026-04-09T09:55:43.327541,100303.76,100000.0,303.76
2026-04-09T09:56:43.578571,100324.69,100000.0,324.69
2026-04-09T10:00:45.928244,100323.88,100000.0,323.88
2026-04-09T10:01:46.333088,100360.9,100000.0,360.9
2026-04-09T10:02:46.647908,100381.03,100000.0,381.03
2026-04-09T10:03:47.210688,100423.69,100000.0,423.69
2026-04-09T10:04:47.502701,100404.19,100000.0,404.19
2026-04-09T10:05:52.532658,100412.42,100000.0,412.42
2026-04-09T10:06:52.859317,100409.2,100000.0,409.2
2026-04-09T10:07:53.185642,100417.25,100000.0,417.25
2026-04-09T10:08:53.529511,100397.93,100000.0,397.93
2026-04-09T10:09:53.789712,100386.55,100000.0,386.55
2026-04-09T10:10:58.926040,100372.98,100000.0,372.98
2026-04-09T10:11:59.232429,100381.83,100000.0,381.83
2026-04-09T10:12:59.573926,100339.97,100000.0,339.97
2026-04-09T10:13:59.863557,100298.11,100000.0,298.11
2026-04-09T10:15:00.225611,100302.94,100000.0,302.94
2026-04-09T10:16:07.476132,100289.26,100000.0,289.26
2026-04-09T10:17:08.029899,100309.76,100000.0,309.76
2026-04-09T10:18:08.441032,100304.18,100000.0,304.18
