date,symbol,action,price,qty,stop_loss,take_profit,equity
2026-04-08 09:31:34,AAPL,BUY,257.83,7,252.67,268.14,100000.0
2026-04-08 09:32:35,AAPL,BUY,256.89,7,251.75,267.17,100000.0
2026-04-08 09:33:35,AAPL,BUY,256.83,7,251.69,267.1,100000.0
2026-04-08 09:40:02,AAPL,BUY,256.81,7,251.67,267.08,99981.61
2026-04-08 09:48:27,AAPL,BUY,258.5,7,253.33,268.84,99982.82
2026-04-08T12:58:50.117042,AMD,BUY,233.39,45,99984.29,211.6,276.97
2026-04-08T12:58:50.439022,CSX,BUY,41.79,584,99984.29,40.08,45.22
2026-04-08T12:58:50.562602,DAL,BUY,69.62,171,99984.29,63.79,81.28
2026-04-08T12:58:50.769329,DOW,BUY,37.915,261,99984.29,34.09,45.56
2026-04-08T12:58:50.993906,FCX,BUY,65.585,168,99984.29,59.64,77.47
2026-04-08T12:58:51.115827,HAL,BUY,37.37,349,99984.29,34.51,43.09
2026-04-08T12:58:51.291231,HPE,BUY,24.955,419,99984.29,22.57,29.72
2026-04-09T09:53:42.830949,INTC,BUY,60.06,161,100269.16,53.86,72.46
2026-04-09T10:00:45.887308,INTC,BUY,60.32,161,100323.88,54.11,72.75
2026-04-09T10:16:07.393423,AMZN,BUY,225.16,80,100289.26,212.74,250.01
2026-04-09T10:17:07.857003,AMZN,SELL,225.46,80,100309.76,,
2026-04-09T10:17:07.984798,INTC,SELL,60.155,161,100309.76,,
